,title,year,rating,genre,movie_length,votes
0,Spider-Man: No Way Home,(2021),8.7,"Action, Adventure, Fantasy",148 min,"426,710"
1,Dune,(2021),8.1,"Action, Adventure, Drama",155 min,"465,384"
2,West Side Story,(2021),7.8,"Crime, Drama, Musical",156 min,"27,414"
3,Harry Potter and the Sorcerer's Stone,(2001),7.6,"Adventure, Family, Fantasy",152 min,"737,490"
4,The Matrix,(1999),8.7,"Action, Sci-Fi",136 min,"1,829,810"
5,Fight Club,(1999),8.8,Drama,139 min,"1,994,738"
6,Ghostbusters,(1984),7.8,"Action, Comedy, Fantasy",105 min,"396,762"
7,Avengers: Endgame,(2019),8.4,"Action, Adventure, Drama",181 min,"1,004,362"
8,The Gentlemen,(2019),7.8,"Action, Comedy, Crime",113 min,"300,873"
9,The Shawshank Redemption,(1994),9.3,Drama,142 min,"2,535,085"
10,CODA,(2021),8.1,"Comedy, Drama, Music",111 min,"39,340"
11,The Wolf of Wall Street,(2013),8.2,"Biography, Comedy, Crime",180 min,"1,308,394"
12,The Godfather,(1972),9.2,"Crime, Drama",175 min,"1,744,867"
13,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,"Action, Adventure, Drama",178 min,"1,770,460"
14,The Dark Knight,(2008),9.0,"Action, Crime, Drama",152 min,"2,485,604"
15,Knives Out,(2019),7.9,"Comedy, Crime, Drama",130 min,"568,600"
16,Interstellar,(2014),8.6,"Adventure, Drama, Sci-Fi",169 min,"1,680,715"
17,Kingsman: The Secret Service,(2014),7.7,"Action, Adventure, Comedy",129 min,"634,892"
18,Once Upon a Time... In Hollywood,(2019),7.6,"Comedy, Drama",161 min,"665,481"
19,The Father,(I) (2020),8.3,"Drama, Mystery",97 min,"121,389"
20,Avengers: Infinity War,(2018),8.4,"Action, Adventure, Sci-Fi",149 min,"974,560"
21,Spider-Man: Into the Spider-Verse,(2018),8.4,"Animation, Action, Adventure",117 min,"466,101"
22,Prisoners,(2013),8.1,"Crime, Drama, Mystery",153 min,"660,919"
23,Zack Snyder's Justice League,(2021),8.1,"Action, Adventure, Fantasy",242 min,"357,853"
24,Harry Potter and the Goblet of Fire,(2005),7.7,"Adventure, Family, Fantasy",157 min,"596,489"
25,The Social Network,(2010),7.7,"Biography, Drama",120 min,"671,553"
26,Guardians of the Galaxy,(2014),8.0,"Action, Adventure, Comedy",121 min,"1,120,852"
27,Titanic,(1997),7.8,"Drama, Romance",194 min,"1,117,984"
28,Inception,(2010),8.8,"Action, Adventure, Sci-Fi",148 min,"2,227,545"
29,Parasite,(2019),8.6,"Comedy, Drama, Thriller",132 min,"711,587"
30,Harry Potter and the Prisoner of Azkaban,(2004),7.9,"Adventure, Family, Fantasy",142 min,"602,837"
31,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,"Adventure, Fantasy, Mystery",130 min,"828,716"
32,Pulp Fiction,(1994),8.9,"Crime, Drama",154 min,"1,952,096"
33,Braveheart,(1995),8.3,"Biography, Drama, History",178 min,"1,004,556"
34,The Hobbit: An Unexpected Journey,(2012),7.8,"Adventure, Fantasy",169 min,"794,670"
35,Inglourious Basterds,(2009),8.3,"Adventure, Drama, War",153 min,"1,367,763"
36,Joker,(I) (2019),8.4,"Crime, Drama, Thriller",122 min,"1,135,232"
37,Wind River,(2017),7.7,"Crime, Drama, Mystery",107 min,"236,133"
38,Little Women,(2019),7.8,"Drama, Romance",135 min,"182,501"
39,American Psycho,(2000),7.6,"Crime, Drama, Horror",101 min,"546,452"
